GeneID	SL	SP	XL	XP
Bra000001	0	0	0	0
Bra000002	0	0.00587471	0	0.012777
Bra000003	29.33951	26.05226	24.926272	21.745123
Bra000004	2.41987	7.01586	2.62725	4.65833
Bra000005	76.631146	54.5449	70.82772	59.59127
Bra000006	606.058	423.589	574.533	433.723
Bra000007	5.77475	8.32277	4.92888	8.33375
Bra000008	0.0104451	0.0597352	0.0904225	0.3769748961
Bra000009	230.257096	197.083905	267.631151	313.114418
Bra000010	0	0	0	0.0170608
Bra000011	14.880695617	23.044	44.5621922	40.8623
Bra000012	3.313257	4.46825	3.022264	4.5450809644
Bra000013	1.1796962	1.68174065238	1.47128985499	3.1093629066
Bra000014	0.00485911	0	0.00666616	0.00533006
Bra000015	122.482	48.6615	86.9655	25.3619
Bra000016	0	0	0	0
Bra000017	0	0	0	1.09819
Bra000018	8.226957	5.283301	6.008263	2.878397
Bra000019	15.1728	5.5116349	11.614	6.1710935
Bra000020	0	0	0	0
Bra000021	9.318884	9.91945	7.700818	7.498643
Bra000022	0	0.0354539	0	0.0389224
Bra000023	11.4824361	9.8617015	9.7297681	8.18082032
Bra000024	5.8709541	2.4675544	4.539647474	2.0189614
Bra000025	0.0550176	0	0.0237904	0.686744
Bra000026	0.8421978	2.3879687	1.6599933	2.292567
Bra000027	0.029080608215	5.789606	0.3109562	5.711885
Bra000028	20.5176	28.9389	35.1404	44.897
Bra000029	8.322373	8.244919	14.116136	10.796801
Bra000030	0.4744413	0.9829409	0.41478663	2.333318
Bra000031	4.73727	3.783956	8.761563	2.682948
Bra000032	54.075	38.6244	77.0321	30.6966
Bra000033	0	0	0	0.00810382
Bra000034	21.1644589	14.7749085	22.4286807	20.3736207
Bra000035	32.438186	22.014504	27.915381	22.0511421
Bra000036	10.342975	15.688102	14.698749	25.687913
Bra000037	20.1906259	14.5778097	27.864549	18.538517
Bra000038	9.49745	10.29386	8.279783	5.474781
Bra000039	12.1012558	4.82326	12.043635	4.9120081
Bra000040	0	0	0	0
Bra000041	0.261679	2.21729	0.289153	0.321663
Bra000042	8.389157	8.531772	4.465975	11.8152511
Bra000043	9.502933	10.008369	8.4816067	7.349595
Bra000044	0.01989771	0.1361614	0.06296037	0.3729916
Bra000045	0.00869576	0.225278	0.0232952	0.4410383
Bra000046	0.7871064	5.191643	0.5192412	6.94697
Bra000047	10.333387	15.617882	14.828385	31.112195
Bra000048	0	0	0	0.00420768
Bra000049	7.39915	0	0	0
Bra000050	0	0	0	0
Bra000051	0	0	0	0
Bra000052	4.46503	27.384	21.5063	45.7141
Bra000053	0.0419846	1.013788	0.132361	3.1214726
Bra000054	0.0516751	0.126017	0	0.0696653
Bra000055	13.8340268	28.5804756	17.385688	28.517903
Bra000056	154.358	166.482	214.252	262.385
Bra000057	4.41297	6.14582	4.80738	5.52255
Bra000058	0	0	0	0
Bra000059	0.16846545	1.0670152	0.0882689	0.376919
Bra000060	28.556134	19.731445	46.875067	22.631327
Bra000061	0	0.0453119	0	0
Bra000062	20.8338708	21.573015	20.6858314	19.2060564
Bra000063	3.810091	6.737392	5.33028	11.128476
Bra000064	13.484608	45.83243	17.86486	107.16814
Bra000065	2.009348	3.767895	3.92339	4.821522
Bra000066	0	0.0361177	0	0.0270304
Bra000067	3.2717062	1.226312	0.6229753	0.12622488795
Bra000068	0	0	0	0
Bra000069	3.770349	4.045255	4.3322765	3.679835
Bra000070	1.6545318	3.009318	1.7487829	2.578684
Bra000071	9.9008141	10.2256269	8.8019974764	8.765173559
Bra000072	0.0341224	0.0628972	0.0137351	0
Bra000073	8.768908	7.4035725	8.39613	5.4762249
Bra000074	0	0.753106	0.0182382	0.6239548
Bra000075	12.5177795	14.9849268	8.8107908	8.756523115
Bra000076	0	0	0	0
Bra000077	0.4877374	0.503915	0.462819	2.0146889
Bra000078	0	0	0	0
Bra000079	0	0.45186636	0.044573998	2.006811
Bra000080	0.1036395	1.85162	0.0767555	9.216483
Bra000081	77.436747	73.62993	76.766538	54.821609
Bra000082	0.4732999	2.736243	0.249655	1.072754
Bra000083	0	0	0	0
Bra000084	21.779669	15.13504	22.153729	17.131145
Bra000085	4.9757715	9.199745	5.547906	10.6069692
Bra000086	0	0.0395189	0	0.0899711
Bra000087	0.00759249	0.0130228	0.023249	0.0138941
Bra000088	17.048582	20.623421	18.715562	22.485095
Bra000089	20.46474	20.301808	19.355418	18.179129
Bra000090	55.89505	63.78621	83.3614	70.25558
Bra000091	9.907436	10.2999	13.834675	11.210831
Bra000092	6.832926	13.657097	11.639163	19.118053
Bra000093	0.837977	4.67272	3.17124	20.4796
Bra000094	9.540026	4.720671	6.1692086	4.955534
Bra000095	0	0.126908	0	0.290188
Bra000096	0.547805	0.597624	0.2569583	1.819172
Bra000097	10.68505	11.319654	10.170476	11.514407
Bra000098	12.026436	24.97321	15.08999	12.817439
Bra000099	0	0	0	0
Bra000100	31.1418996	25.561448	26.4406127	19.3183736
Bra000101	0	0.0376417	0	0
Bra000102	3.5081387	15.481691	6.11425	17.699728
Bra000103	4.393718868	2.948083	3.5704796	2.605683
Bra000104	0	0	0	0
Bra000105	0	0.00389977	0	0.00993541
Bra000106	0	0	0	0
Bra000107	0	0	0	0
Bra000108	4.381229	4.4501676	4.72739	4.2765706
Bra000109	0.032361299017	0.6629511	0.03473163	0.54376464
Bra000110	0	0	0	0
Bra000111	138.59155	62.22004	150.49384	64.988115
Bra000112	26.839	21.4838	30.8779	41.7929
Bra000113	0	0	0	0
Bra000114	28.758857	24.78327953	26.6505881	22.2556472
Bra000115	22.889517	11.48268	33.617135	14.211744
Bra000116	0	0	0	0
Bra000117	13.8545069	18.7916427	15.5686728	17.6743375
Bra000118	14.7433	13.2316	12.5498	3.15042
Bra000119	5.754	2.88827	6.38661	0.375698
Bra000120	12.239506	18.099103	20.8538859	29.0835731
Bra000121	0.0773844	0.54027184	0.22931377	0.52727492
Bra000122	4.364253	5.2503169	16.5823291	2.12529248
Bra000123	0	0	0	0
Bra000124	0.8667084	1.1716231503	2.7514532	1.0716883436
Bra000125	137.837938	86.513859	103.961274	13.250589
Bra000126	17.949439	12.446314	14.611569	13.126606
Bra000127	8.277632	7.884813	8.7253613	8.8513038
Bra000128	0.796214403	0.8846261	5.177943	1.345198
Bra000129	54.92857	8.2437081	22.737559	2.0810323
Bra000130	10.9088	12.7423	13.5536	10.8348
Bra000131	8.175596	8.617785	8.6037277	7.3817326
Bra000132	0.2079684	0.75127016486	0.23438808949	3.325175
Bra000133	0	0	0	0
Bra000134	10.2356476	6.320831	7.505638	2.8276286
Bra000135	65.386171	60.825077	74.48797213	92.847044
Bra000136	10.987132	10.4951742	10.8009781	8.4204484
Bra000137	0.0516273	0.0528586	0	0.0276002
Bra000138	0.683032	0.915171	0.832844	1.18258
Bra000139	17.498186	17.618701	15.425659	14.018214
Bra000140	5.685321	16.741	8.53549	43.17866
Bra000141	0.5347072	8.643306	0.49019170635	8.9844638
Bra000142	1.542559	5.325064	1.521026	39.41194
Bra000143	20.9795	18.5278	23.1691	14.6193
Bra000144	42.6601431	149.9146402	111.7771083	417.2967793
Bra000145	37.9497774	21.6242469	34.5132256	18.5940299
Bra000146	0	0	0	0
Bra000147	6.02167745	4.320913533	4.9667596	3.8477655
Bra000148	0	0	0	0
Bra000149	142.31837	89.45354	148.12324	108.06847
Bra000150	1.5442555978	9.036981	2.6777249	9.2773331
Bra000151	19.217573	16.393668	17.382413	16.829742
Bra000152	2.13190835	2.4236275049	2.1395056	4.6062311
Bra000153	9.4206054	8.8540362	9.4857246	10.3963376
Bra000154	104.812129	71.049041	114.103339	66.690025
Bra000155	3.336586	4.564643	2.992092	3.178555
Bra000156	18.872315	16.186827	17.716499	10.82215
Bra000157	22.432342	16.967625	25.707432	22.97326
Bra000158	52.7876	201.207	96.3786	406.826
Bra000159	69.2719245	84.658049	77.148388	81.1730722
Bra000160	0.220953	1.813515	0.4769491	11.390813
Bra000161	25.672595	25.410221	23.070596	25.094143
Bra000162	4.7905432	3.3730767	4.4636686	4.53080383
Bra000163	228.21747	115.92387	205.16635	120.111825
Bra000164	11.497576	9.509317	8.73099	8.26088
Bra000165	76.0328	104.247	80.0278	85.6882
Bra000166	6.962899056	7.721615249	6.713302551	8.29477236698
Bra000167	3.872075	3.412641	3.013411	2.679348
Bra000168	0	0	0	0
Bra000169	5.4391592	3.9475014	3.2797785	4.7537884
Bra000170	0.00604771	0.443167	0.1047078	2.352629
Bra000171	53.011438	42.30599	36.733571	32.470571
Bra000172	0	0.0157205	0	0
Bra000173	0	0	0	0
Bra000174	0.036329	0	0.104362	0.079462
Bra000175	0	0	0.00374743	0
Bra000176	0	0.0146744	0	0.074816
Bra000177	12.86963	4.05575	5.20049	2.837783
Bra000178	6.3393696	7.90761	9.27038628	10.4251711
Bra000179	2.14036	1.30994	1.83351	0.89516
Bra000180	0	0	0	0
Bra000181	46.150871	23.7268819	36.8356153	14.9338504
Bra000182	16.6111767	10.045618	17.050385	14.8938281
Bra000183	0	0	0	0
Bra000184	0.0210394	0.0520957	0.15813	0.229073
Bra000185	1.076133	1.296473	1.435575	1.225064
Bra000186	3.6433766	4.81875	6.535076	6.3740134
Bra000187	0.2600058926	12.753695	1.0680015	18.612949
Bra000188	0.0164467	0.628677	0.0517422473	1.414007
Bra000189	6.31088	14.6946	9.16862	3.84039
Bra000190	3.1405715	10.885147	4.0231067	22.148928
Bra000191	0	2.51759	0.622435	3.43234
Bra000192	0	0	0.0174559	0
Bra000193	57.485	46.54015	66.04559	65.817342
Bra000194	1.292288	2.724687	3.0097227	1.8512508307
Bra000195	0.143435	0.593695	0.24031678	0.8126476
Bra000196	7.87986	6.628013	8.38617	6.839781
Bra000197	10.919768	10.845529	8.3572583	14.872009
Bra000198	35.822571	22.751726	32.996973	22.091083
Bra000199	0.0823726	2.0497566	0.47593254	2.336602
Bra000200	0.678303	0.55387	0.559842	0.584576
Bra000201	16.7377211	12.4870752	15.6266055	11.4408336
Bra000202	0	0	0.0080873	0.0306926
Bra000203	7.727949	2.7183907	10.270462	3.486926
Bra000204	20.675438	20.091137	19.701538	36.836871
Bra000205	1.21228	0.730316	1.50202	0.624283
Bra000206	12.78056	7.102447	9.3527	9.045282
Bra000207	11.70769	12.59124	15.0758	16.76119
Bra000208	0.702454	0.5189121	0.436584	0.297445
Bra000209	11.652390835	13.763748041	10.8230624212	9.43011847
Bra000210	0	0	0	0
Bra000211	26.360749	24.611082	23.508203	31.298564
Bra000212	0.04220206331	0.5886653	0.3528726	2.104989
Bra000213	4.081175	3.888949	4.29280974	4.50329551
